npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	512	1088	128	4	1024	922	1024									5000	100000	250000
charsi	512	960	128	4	1024	922	1024									5000	100000	250000
akara	512	1024	128	4	1024	922	1024									5000	100000	250000
lysander	512	1024	128	9	1024	922	1024									10000	100000	250000
drognan	512	1024	128	9	1024	922	1024									10000	100000	250000
elzix	512	1024	128	9	1024	922	1024									10000	100000	250000
fara	512	1024	128	9	1024	922	1024									10000	100000	250000
hratli	512	1024	128	17	1024	922	1024									15000	100000	250000
alkor	512	1024	128	17	1024	922	1024									15000	100000	250000
ormus	512	1024	128	17	1024	922	1024									15000	100000	250000
asheara	512	1024	128	17	1024	922	1024									15000	100000	250000
jamella	512	1024	128													20000	100000	250000
halbu	512	1024	128													20000	100000	250000
malah	512	2048	128	35	1024	512	1024									25000	100000	250000
drehya	512	2048	128	35	1024	512	1024									25000	100000	250000
larzuk	512	2048	128	35	1024	512	1024									25000	100000	250000
nihlathak	512	2048	128	35	1024	512	1024									25000	100000	250000
